Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Random Forest (Tuned),0.9619422572178478,0.9583333333333334,0.9658792650918635,0.9620915032679739,0.9933943077762699
Random Forest (Baseline),0.9593175853018373,0.9549393414211439,0.9641294838145232,0.9595124074880279,0.9934708511392332
Decision Tree (Baseline),0.9339457567804025,0.9290657439446367,0.9396325459317585,0.9343192692474989,0.9339457567804025
Decision Tree (Tuned),0.931758530183727,0.9236051502145923,0.9413823272090989,0.9324090121317158,0.9524677197502545
